competency,task,knowledge,skill
Introduction to Python,"Overview of Python and its History,Setting up Python Environment,Writing and Executing First Python Program,Basic Syntax and Structure,Using Python IDEs and Tools","Definition and features of Python,Installation and setup steps,Basic syntax and structure of Python scripts,Different Python IDEs","Set up Python environment,Execute basic Python scripts,Use Python IDEs and tools"
Data Types and Variables,"Numbers, Strings, and Booleans,Variables and Constants,Type Casting and Conversion,String Operations and Formatting","Different data types in Python,Variable declaration and assignment,Type conversion methods,String formatting techniques","Work with different data types,Perform type casting,Format and manipulate strings"
Control Structures,"If Statements,Else and Elif Clauses,Nested Control Structures,Loops (for, while),Break and Continue Statements","Control flow in Python,Syntax of if, else, elif statements,Looping constructs in Python,Break and continue usage","Implement control structures,Create nested control statements,Construct and control loops"
Functions,"Defining and Calling Functions,Function Parameters and Return Values,Scope of Variables,Lambda Functions,Built-in Functions,Higher-order Functions","Function definition and calling conventions,Parameter passing methods,Variable scope,Use of lambda functions,Common built-in functions","Define and call functions,Manage function parameters,Utilize lambda and higher-order functions"
Collections,"Lists,Tuples,Sets,Dictionaries,List Comprehensions,Understanding Iterators","Different collection types in Python,Usage and manipulation of lists, tuples, sets, dictionaries,List comprehension syntax,Iterator protocols","Implement and manipulate collections,Use list comprehensions,Work with iterators"
File Handling,"Reading from Files,Writing to Files,Working with File Paths,Handling CSV and JSON Files","File handling operations,File path management,Working with CSV and JSON formats","Read and write files,Handle file paths,Process CSV and JSON data"
Exception Handling,"Understanding Exceptions,Exception Handling using Try-Except,Finally Clause,Raising Exceptions,Creating Custom Exceptions","Types of exceptions,Exception handling mechanisms,Usage of try, except, finally, raise","Handle exceptions in Python,Create custom exceptions"
Modules and Packages,"Importing Modules,Using Standard Libraries,Building and Importing Custom Modules,Understanding Packages and Namespaces","Module import mechanisms,Standard library modules,Custom module creation,Namespace and package structures","Import and use modules,Create and manage custom modules,Understand packages"
Introduction to Object-Oriented Programming (OOP),"OOP Concepts: Classes and Objects,Defining and Using Methods,Class and Instance Variables,Encapsulation, Inheritance, and Polymorphism","Basic OOP principles,Class and object usage,Encapsulation, inheritance, polymorphism concepts","Define and use classes and objects,Implement inheritance and polymorphism"
Working with Libraries,"Introduction to Popular Libraries (e.g. NumPy, pandas),Basic Usage and Functions,Finding and Installing External Libraries,Creating Virtual Environments","Popular Python libraries,Basic functions of libraries,Installation of external libraries,Virtual environment creation","Use popular libraries,Install and manage external libraries,Create and manage virtual environments"
