sprint_no,sprint_name,learning_objectives,problem_task_completed
1,Understand Java Basics,"Write a simple Java program to print 'Hello World',Declare and initialize variables in Java","Introduced Java basics and syntax.,Declared and initialized variables for storing student grades."
2,Perform Arithmetic Operations,"Perform arithmetic operations using different operators,Use increment and decrement operators","Performed arithmetic operations to calculate grades.,Used increment and decrement operators to adjust grades."
3,Implement Conditional Logic,"Write programs using if-else statements,Use switch-case statements for decision making","Implemented conditional logic to determine grade categories.,Used switch-case statements to handle different grading criteria."
4,Implement Looping Constructs,"Write programs using for loops,Use while and do-while loops","Used for loops to iterate through student records.,Applied while and do-while loops for repeated grade calculations."
5,Understand Functions in Java,"Define and call functions in Java,Pass arguments and return values in functions","Defined and called functions to modularize the grade calculation.,Passed arguments and returned values in functions to handle different student data."
6,Work with Arrays,"Declare, initialize, and access arrays,Perform operations on array elements","Declared and initialized arrays to store multiple student grades.,Performed operations on array elements to calculate average grades."
7,Understand Object-Oriented Programming Concepts,"Create classes and objects,Implement encapsulation in Java","Created classes and objects to represent students and grades.,Implemented encapsulation to protect student data."
8,Implement Inheritance,"Create a class hierarchy using inheritance,Override methods in derived classes","Created a class hierarchy to differentiate between undergraduate and graduate students.,Overrode methods in derived classes to customize grade calculations."
9,Implement Polymorphism,"Use method overloading,Implement runtime polymorphism using method overriding","Used method overloading to handle different types of grade calculations.,Implemented runtime polymorphism to dynamically calculate grades based on student type."
10,Handle Exceptions in Java,"Implement try-catch blocks,Use finally block for cleanup operations","Handled exceptions using try-catch blocks to manage invalid inputs.,Used finally block to ensure cleanup operations after grade calculations."
